month,Central Basin,Eastern Basin
1,752360.1556399562,194728.5108715181
2,752360.1556399562,194728.5108715181
3,752360.1556399562,194728.5108715181
4,752360.1556399562,194728.5108715181
5,723704.0420860446,187311.63442227035
6,723704.0420860446,187311.63442227035
7,723704.0420860446,187311.63442227035
8,723704.0420860446,187311.63442227035
9,723704.0420860446,187311.63442227035
10,723704.0420860446,187311.63442227035
11,752360.1556399562,194728.5108715181
12,752360.1556399562,194728.5108715181
