month,Central Basin,Eastern Basin
1,528190.6328687583,136708.1638013257
2,528190.6328687583,136708.1638013257
3,528190.6328687583,136708.1638013257
4,528190.6328687583,136708.1638013257
5,373261.4943264144,96608.85735507197
6,373261.4943264144,96608.85735507197
7,373261.4943264144,96608.85735507197
8,373261.4943264144,96608.85735507197
9,373261.4943264144,96608.85735507197
10,373261.4943264144,96608.85735507197
11,528190.6328687583,136708.1638013257
12,528190.6328687583,136708.1638013257
