month,Central Basin,Eastern Basin
1,748000.3552317343,193600.09194233123
2,748000.3552317343,193600.09194233123
3,748000.3552317343,193600.09194233123
4,748000.3552317343,193600.09194233123
5,718941.7438919893,186079.0395955737
6,718941.7438919893,186079.0395955737
7,718941.7438919893,186079.0395955737
8,718941.7438919893,186079.0395955737
9,718941.7438919893,186079.0395955737
10,718941.7438919893,186079.0395955737
11,748000.3552317343,193600.09194233123
12,748000.3552317343,193600.09194233123
