month,Central Basin,Eastern Basin
1,729819.0880759517,188894.35220789336
2,729819.0880759517,188894.35220789336
3,729819.0880759517,188894.35220789336
4,729819.0880759517,188894.35220789336
5,662774.9821499804,171541.76008587726
6,662774.9821499804,171541.76008587726
7,662774.9821499804,171541.76008587726
8,662774.9821499804,171541.76008587726
9,662774.9821499804,171541.76008587726
10,662774.9821499804,171541.76008587726
11,729819.0880759517,188894.35220789336
12,729819.0880759517,188894.35220789336
