month,Central Basin,Eastern Basin
1,282131.7617710153,73022.33834073337
2,282131.7617710153,73022.33834073337
3,282131.7617710153,73022.33834073337
4,282131.7617710153,73022.33834073337
5,173307.2107753592,44855.98396538709
6,173307.2107753592,44855.98396538709
7,173307.2107753592,44855.98396538709
8,173307.2107753592,44855.98396538709
9,173307.2107753592,44855.98396538709
10,173307.2107753592,44855.98396538709
11,282131.7617710153,73022.33834073337
12,282131.7617710153,73022.33834073337
