month,Central Basin,Eastern Basin
1,674381.2407889849,174545.73291009024
2,674381.2407889849,174545.73291009024
3,674381.2407889849,174545.73291009024
4,674381.2407889849,174545.73291009024
5,536763.6931151611,138927.07351215935
6,536763.6931151611,138927.07351215935
7,536763.6931151611,138927.07351215935
8,536763.6931151611,138927.07351215935
9,536763.6931151611,138927.07351215935
10,536763.6931151611,138927.07351215935
11,674381.2407889849,174545.73291009024
12,674381.2407889849,174545.73291009024
