Chem_Name,Central_Dissolved_Upper,Central_Dissolved_Lower,Eastern_Dissolved_Upper,Eastern_Dissolved_Lower,Central_Particle_Upper,Central_Particle_Lower,Eastern_Particle_Upper,Eastern_Particle_Lower,Central_Sediment,Eastern_Sediment
NaP,837.3355197991272,479.51634358457784,3127.532014365856,1220.5975950587717,0.1611560278972552,0.07023893037882839,0.5589386231091855,0.14628399405554357,27.057599952442125,92.95643630388278
AcNP,1033.7995153459583,572.7459688815117,3868.3181768114855,1502.297160499418,0.5168625427500468,0.21564357176297494,1.7958755619162325,0.46278592926460027,80.38503448729936,287.1025061657287
AcN,1037.172968331183,575.8728185577428,3883.2882346142437,1507.5297021730314,0.7663983564154088,0.3207015474374234,2.6645159174982918,0.6868947186748616,118.67422604221416,423.24932141953974
Fl,2026.326480001016,1605.413685322268,6615.605867560116,3394.3876793414656,2.2213201126737245,1.3223957236204973,6.7342102184216355,2.2876297828228833,487.06513893083564,1401.8322099481395
PhA,2265.045221656287,1715.8985177515422,7410.386584976446,3756.61167612077,5.591898255866392,3.1642156516757396,16.98785577395406,5.6678794366541645,1160.892302285198,3436.1430945769685
AN,2207.874545734805,1671.3929862580176,7245.583996990762,3663.5181521973564,7.525230881460798,4.254544306555343,22.931588960528238,7.629966784967567,1561.077455459643,4601.728973276618
FlA,3599.9499773159296,3204.862494460173,10908.104969139536,6223.535467851061,27.695046579987658,18.26349441158611,77.92382439047962,29.017598582407757,6985.867262927882,18052.62800811708
Py,3528.1012863415835,3115.0199893463173,10733.885162015411,6099.3441710788,32.63001967729119,21.34200971460742,92.18251492223004,34.19065650166266,8236.105571672815,21333.15205347753
BaA,2343.385519503026,1882.4077644050876,7682.108081714691,4129.746128196,128.84885788235815,75.9430754802792,392.2225519707537,136.31625752379648,35406.38385101824,90662.85207439733
Chy,2812.1821529343993,2295.6668912263385,9035.219225050252,4919.272408125032,106.98754265941943,64.07422266134358,319.18595713225375,112.33760799656548,28216.807694250558,73288.02559866689
BbFlA,2631.355389370915,2104.070579009291,8627.550394041413,4642.561205873936,145.5845131714256,84.88574782735074,443.23953670625997,153.243455957025,39575.66048054478,101920.99630064904
BkFlA,2567.664909177685,2048.7299140002265,8440.549901171826,4535.039246780305,148.7809223367173,86.54842799635348,454.1454414442189,156.7492059462016,40664.039745222944,104524.89673140095
BaP,2063.0590434441106,1590.6715579298327,6923.728869980443,3615.017001516281,173.0300132120317,100.04293702407759,539.2189581475752,186.02276091198115,50469.47916681748,127045.93304793452
IP,914.3185283401006,693.5551206765804,3239.012068676648,1675.3603223238053,255.02559024310494,140.23468971790143,838.9075897355145,277.16125899240564,87587.55492520433,203077.12277209948
dBahA,591.3462987812463,442.5538178199463,2124.5093860340203,1086.5144108388274,272.42238366821647,148.5048259151003,908.8137235566429,298.3044901596435,99758.37735694485,223721.53058117692
BghiP,794.9689775687451,601.3499473086162,2830.5331601373123,1461.0471523140739,260.6774733951391,142.85707463912908,861.8603181607718,283.9805080087006,91493.05362368614,209760.81375499364
PCB-28,2492.6569978231605,2422.833083053665,7787.031497718823,4557.424508941432,165.91717840163514,120.25356786343669,481.30024191650404,185.07330611182417,58958.826979809295,126872.11824359896
PCB-153,285.42243010922374,243.94252582324899,977.6938472085451,533.1832119273857,471.44572523067063,297.20902404741526,1499.5529360182145,531.4969371597016,233251.698657851,433041.28655137576
BDE-47,1831.1099400462415,1504.6696035815114,6225.81191025585,3321.9702694285256,503.90343754513776,304.23951708462425,1590.9048779727739,549.5662335688282,153365.1220578967,317794.0704344512
BDE-99,968.2591137065721,787.3636699267461,3329.4030299521573,1752.0518864514283,683.8829950739911,420.05936731828297,2183.5940318116945,764.7721949006877,289577.5038079627,567784.48977991
BDE-153,442.4639510065055,375.11391694879114,1527.7445628106757,834.8630071554811,837.9203143758567,520.0170090528815,2686.5250214615908,946.93335423184,460382.92485279817,869243.109416736
12347-PCDD,333.82614551117615,189.6068057835251,1323.060773653293,570.8782601794007,257.4378861873154,111.05383346264058,947.4301978539291,273.57282913725487,79137.43357364726,209022.59433786676
Dibenzo-p-furan,519.4515667953481,203.19756234499462,2273.913161403084,539.3196394961698,0.29600250269224015,0.08903933106954257,1.2032046855031722,0.19335680212490786,31.801635739720073,113.37554055353225
