month,Central Basin,Eastern Basin
1,367019.7948268177,94993.3586610587
2,367019.7948268177,94993.3586610587
3,367019.7948268177,94993.3586610587
4,367019.7948268177,94993.3586610587
5,233360.56850955443,60399.205967178794
6,233360.56850955443,60399.205967178794
7,233360.56850955443,60399.205967178794
8,233360.56850955443,60399.205967178794
9,233360.56850955443,60399.205967178794
10,233360.56850955443,60399.205967178794
11,367019.7948268177,94993.3586610587
12,367019.7948268177,94993.3586610587
